name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
Jonathon Brooks,0.0,0.0,0.0,0.0,0.0,0.0,2.93,2.27,0.0,1.0,1.0,7.67,0.0,0.0,3,CAR,0.0,2.98,0.99,0.0,0.0,0.0,6.72,0.0,1.0,7.99,0.0,0.0,0.0,2.67,1.24,0.0,0.0,0.0,5.89,0.0,1.27,9.42,0.0,0.0
Jonnu Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,6.95,0.84,7.41,0.11,0.01,10,PIT,0.0,0.07,6.95,0.0,0.0,0.0,0.0,0.0,5.94,52.23,0.74,0.06,0.0,0.08,7.02,0.0,0.0,0.0,0.0,0.0,6.17,55.61,0.85,0.0
Jordan Love,0.66,25.38,8.12,0.06,0.0,0.83,1.83,3.48,0.03,0.0,0.0,0.0,0.0,0.03,9,GNB,22.73,1.78,0.0,183.06,1.57,0.0,6.41,0.05,0.0,0.0,0.0,0.06,18.42,1.29,0.0,154.92,1.7,0.0,5.01,0.04,0.0,0.0,0.0,0.0
Jordan Mason,0.0,0.0,0.0,0.0,0.0,0.0,9.79,4.9,0.0,0.75,0.78,5.0,0.0,0.02,5,MIN,0.0,9.09,0.77,0.0,0.0,0.0,44.61,0.0,0.59,3.69,0.0,0.23,0.0,10.1,0.78,0.0,0.0,0.0,43.91,0.0,0.61,3.93,0.0,0.0
Jordan Whittington,0.0,0.0,0.0,0.0,0.0,0.0,0.53,5.0,0.0,0.47,1.0,6.0,0.0,0.0,2,LAR,0.0,0.52,0.46,0.0,0.0,0.0,2.67,0.0,0.46,2.87,0.0,0.0,0.0,0.57,0.37,0.0,0.0,0.0,2.94,0.0,0.4,2.17,0.0,0.0
Josh Allen,0.65,33.59,8.01,0.05,0.01,0.45,8.61,4.61,0.16,0.0,0.0,6862.75,980.39,0.0,9,BUF,31.81,8.53,0.0,252.16,1.59,0.35,40.1,1.25,0.0,0.0,0.0,0.0,33.98,9.43,0.0,270.14,2.02,0.33,42.06,0.81,0.0,0.0,0.0,0.0
Josh Downs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,0.62,7.05,0.05,0.0,8,IND,0.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,3.06,34.19,0.25,0.0,0.0,0.0,4.48,0.0,0.0,0.0,0.0,0.0,2.68,30.74,0.3,0.0
Josh Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,18.92,3.84,0.07,2.11,0.93,10.67,0.0,0.01,9,GNB,0.0,18.38,1.89,0.0,0.0,0.0,73.16,1.23,1.79,20.0,0.0,0.22,0.0,13.31,1.53,0.0,0.0,0.0,57.12,1.04,1.47,16.92,0.0,0.0
Josh Johnson,0.5,1.06,8.0,0.0,0.0,0.41,0.59,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,3,WAS,1.08,0.55,0.0,8.97,0.0,0.0,-0.28,0.0,0.0,0.0,0.0,0.0,1.04,0.54,0.0,8.2,0.0,0.0,-0.29,0.0,0.0,0.0,0.0,0.0
Josh Oliver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.68,8.39,0.02,0.0,6,MIN,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,1.28,15.44,0.04,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0,1.33,16.44,0.04,0.0
