,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team
47,Cade Otton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,9.7,121.1,0.19999999999999996,0.0,6,TAM
48,Cade Stover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3999999999999995,4.199999999999999,23.0,0.5,0.0,6,HOU
49,Caleb Williams,112.1,181.39999999999998,1164.6,6.8,1.0,24.9,26.8,162.29999999999998,0.0,0.0,0.0,0.0,0.0,4.3,9,CHI
50,Calvin Austin III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,16.0,206.3,1.1,0.0,8,PIT
51,Calvin Ridley,0.0,0.0,0.0,0.0,0.0,0.0,1.8,22.200000000000003,0.0,36.8,22.8,364.8,1.5,0.0,9,TEN
52,Cam Grandy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.9,16.6,0.0,0.0,3,CIN
53,Casey Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,0.0,0.0,0.0,0.0,1,ATL
54,Cedric Tillman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.399999999999999,3.3999999999999995,47.8,0.19999999999999996,0.5,3,CLE
55,CeeDee Lamb,0.0,0.0,0.0,0.0,0.0,0.0,2.3,10.299999999999999,0.0,42.3,30.5,362.2,1.5,0.0,8,DAL
56,Charlie Kolar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,0.7999999999999999,4.199999999999999,0.0,0.0,2,BAL
57,Charlie Woerner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.800000000000001,3.9,22.3,0.0,0.0,6,ATL
58,Chase Brown,0.0,0.0,0.0,0.0,0.0,0.0,91.3,380.09999999999997,1.7,23.599999999999998,20.799999999999997,162.29999999999998,1.7,0.29999999999999993,8,CIN
59,Chigoziem Okonkwo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,34.5,25.599999999999998,238.3,0.5,0.0,9,TEN
60,Chris Brooks,0.0,0.0,0.0,0.0,0.0,0.0,11.1,52.5,0.9,5.0,4.8,27.9,0.0,0.0,7,GNB
61,Chris Manhertz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,12.4,0.19999999999999996,0.0,2,NYG
62,Chris Olave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,2.5999999999999996,0.0,0.0,1,NOR
63,Chris Rodriguez,0.0,0.0,0.0,0.0,0.0,0.0,19.099999999999998,90.1,1.6,1.0,1.0,12.0,0.0,0.0,6,WAS
64,Christian McCaffrey,0.0,0.0,0.0,0.0,0.0,0.0,21.199999999999996,90.6,0.0,7.899999999999999,6.1,58.099999999999994,0.0,0.5,4,SFO
65,Christian Watson,0.0,0.0,0.0,0.0,0.0,0.0,2.3,22.7,0.0,17.5,8.6,232.2,0.0,0.7,7,GNB
66,Chuba Hubbard,0.0,0.0,0.0,0.0,0.0,0.0,75.3,341.9,3.6999999999999997,16.1,11.7,41.6,0.0,0.8999999999999999,7,CAR
67,Cody White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999999999999,0.3999999999999999,8.799999999999997,0.0,0.0,1,SEA
68,Colby Parkinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,3.8,44.9,0.3999999999999999,0.0,7,LAR
69,Cole Kmet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.799999999999999,9.7,87.6,0.9,0.0,6,CHI
70,Connor Heyward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,10.7,0.0,0.0,2,PIT
71,Cooper Kupp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,19.7,242.39999999999998,1.9999999999999998,0.5,9,SEA
72,Cooper Rush,107.9,175.9,1127.7,7.9,3.0999999999999996,7.599999999999999,14.899999999999999,8.6,0.0,0.0,0.0,0.0,0.0,4.3,9,BAL
73,Courtland Sutton,0.19999999999999996,0.19999999999999996,0.3999999999999999,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,39.9,25.5,311.9,3.1,0.0,8,DEN
74,Craig Reynolds,0.0,0.0,0.0,0.0,0.0,0.0,11.9,58.599999999999994,0.0,2.9,2.9,39.5,0.0,0.0,4,DET
75,Curtis Samuel,0.0,0.0,0.0,0.0,0.0,0.0,1.2999999999999998,4.9,0.0,8.7,5.3999999999999995,45.0,0.3999999999999999,0.0,6,BUF
76,D'Andre Swift,0.0,0.0,0.0,0.0,0.0,0.0,71.8,255.5,0.3999999999999999,16.0,13.2,118.8,0.0,0.19999999999999996,9,CHI
77,D'Wayne Eskridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,1,MIA
78,D.J. Moore,0.0,0.5,0.0,0.0,0.0,0.0,6.5,38.400000000000006,0.0,48.5,35.699999999999996,336.09999999999997,1.1,0.0,9,CHI
79,D.K. Metcalf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,18.1,247.1,0.9,0.0,7,PIT
80,Dak Prescott,3.599999999999999,4.799999999999999,26.599999999999994,0.19999999999999996,0.0,0.5999999999999999,0.5999999999999999,5.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1,DAL
81,Dallas Goedert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.799999999999999,6.3999999999999995,62.39999999999999,0.8999999999999999,0.3999999999999999,4,PHI
