name,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
Joshua Dobbs,SFO,0.68,23.5,7.68,0.04,0.04,2,4.5,2.67,0.22,0.0,0.0,0.0,0.0,0.22,2,23.33,4.62,0.0,177.64,0.99,0.92,12.32,1.03,0.0,0.0,0.0,0.94,23.33,4.62,0.0,177.64,0.99,0.92,12.32,1.03,0.0,0.0,0.0,0.94
JuJu Smith-Schuster,KAN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.36,0.69,8.88,0.08,0.0,11,0.0,0.0,2.29,0.0,0.0,0.0,0.0,0.0,1.59,20.67,0.18,0.0,0.0,0.0,2.29,0.0,0.0,0.0,0.0,0.0,1.59,20.67,0.18,0.0
Julian Hill,MIA,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.73,0.63,5.26,0.0,0.05,11,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,1.11,9.33,0.0,0.09,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,1.11,9.33,0.0,0.09
Julius Chestnut,TEN,0.0,0.0,0.0,0.0,0.0,0,3.14,4.64,0.0,0.43,0.67,3.67,0.0,0.0,7,0.0,3.1,0.43,0.0,0.0,0.0,14.58,0.0,0.29,1.56,0.0,0.0,0.0,3.1,0.43,0.0,0.0,0.0,14.58,0.0,0.29,1.56,0.0,0.0
Justice Hill,BAL,0.0,0.0,0.0,0.0,0.0,0,3.13,4.85,0.02,3.4,0.82,7.51,0.06,0.0,15,0.0,3.2,3.41,0.0,0.0,0.0,15.65,0.07,2.81,25.71,0.2,0.0,0.0,3.2,3.41,0.0,0.0,0.0,15.65,0.07,2.81,25.71,0.2,0.0
Justin Fields,PIT,0.66,16.1,6.87,0.03,0.01,16,6.2,4.66,0.08,0.0,0.0,0.0,0.0,0.1,10,16.18,6.2,0.0,111.28,0.47,0.18,29.71,0.5,0.0,0.0,0.0,0.63,16.18,6.2,0.0,111.28,0.47,0.18,29.71,0.5,0.0,0.0,0.0,0.63
Justin Herbert,LAC,0.66,29.65,7.68,0.05,0.01,41,4.06,4.43,0.03,0.0,0.0,0.0,0.0,0.09,17,29.11,4.08,0.0,224.66,1.42,0.32,18.51,0.13,0.0,0.0,0.0,0.38,29.11,4.08,0.0,224.66,1.42,0.32,18.51,0.13,0.0,0.0,0.0,0.38
Justin Watson,KAN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.13,0.69,9.03,0.06,0.0,15,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,1.43,18.97,0.12,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,1.43,18.97,0.12,0.0
Juwan Johnson,NOR,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.4,0.76,8.3,0.05,0.03,15,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,3.3,36.46,0.2,0.13,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,3.3,36.46,0.2,0.13
KaVontae Turpin,DAL,0.0,0.0,0.0,0.0,0.0,0,1.07,5.75,0.0,3.47,0.6,8.08,0.04,0.04,15,0.0,1.07,3.5,0.0,0.0,0.0,6.11,0.0,2.13,28.56,0.14,0.17,0.0,1.07,3.5,0.0,0.0,0.0,6.11,0.0,2.13,28.56,0.14,0.17
