name,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
Tip Reiman,ARI,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.4,0.86,5.29,0.0,0.0,5,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,1.22,7.53,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,1.22,7.53,0.0,0.0
Tommy DeVito,NYG,0.7,22.0,5.84,0.0,0.0,6,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,21.98,3.98,0.0,128.37,0.0,0.0,15.81,0.0,0.0,0.0,0.0,0.0,21.98,3.98,0.0,128.37,0.0,0.0,15.81,0.0,0.0,0.0,0.0,0.0
Tommy Tremble,CAR,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.2,0.72,7.31,0.06,0.03,10,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,2.26,23.2,0.19,0.09,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,2.26,23.2,0.19,0.09
Tony Pollard,TEN,0.0,0.0,0.0,0.0,0.0,0,16.25,4.15,0.02,3.56,0.72,4.18,0.0,0.01,16,0.0,16.06,3.54,0.0,0.0,0.0,67.48,0.33,2.57,14.7,0.0,0.21,0.0,16.06,3.54,0.0,0.0,0.0,67.48,0.33,2.57,14.7,0.0,0.21
Travis Etienne,JAX,0.0,0.0,0.0,0.0,0.0,0,10.0,3.72,0.01,3.47,0.75,4.88,0.0,0.0,15,0.0,9.95,3.54,0.0,0.0,0.0,37.73,0.1,2.68,17.47,0.0,0.0,0.0,9.95,3.54,0.0,0.0,0.0,37.73,0.1,2.68,17.47,0.0,0.0
Travis Kelce,KAN,0.0,0.0,0.0,0.0,0.0,0,0.06,1.0,0.0,8.31,0.73,6.19,0.02,0.01,16,0.0,0.06,8.08,0.0,0.0,0.0,0.06,0.0,5.92,50.74,0.16,0.09,0.0,0.06,8.08,0.0,0.0,0.0,0.06,0.0,5.92,50.74,0.16,0.09
Tre Tucker,LVR,0.0,0.0,0.0,0.0,0.0,0,0.53,4.89,0.11,4.76,0.58,6.65,0.04,0.0,17,0.0,0.54,4.6,0.0,0.0,0.0,2.7,0.07,2.67,30.69,0.18,0.0,0.0,0.54,4.6,0.0,0.0,0.0,2.7,0.07,2.67,30.69,0.18,0.0
Trent Sherfield,MIN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.12,0.89,9.22,0.11,0.0,8,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,1.01,10.36,0.13,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,1.01,10.36,0.13,0.0
Trent Taylor,SFO,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,1,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.99,10.83,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.99,10.83,0.0,0.0
Trevor Lawrence,JAX,0.61,28.4,7.2,0.04,0.02,18,2.6,4.58,0.12,0.0,0.0,-50000.0,0.0,0.12,10,28.97,2.59,0.0,210.93,1.14,0.52,12.08,0.31,0.0,-0.0,0.0,0.29,28.97,2.59,0.0,210.93,1.14,0.52,12.08,0.31,0.0,-0.0,0.0,0.29
Trey Benson,ARI,0.0,0.0,0.0,0.0,0.0,0,5.25,4.62,0.02,0.5,1.0,9.83,0.0,0.01,12,0.0,5.23,0.51,0.0,0.0,0.0,23.78,0.11,0.51,4.99,0.0,0.06,0.0,5.23,0.51,0.0,0.0,0.0,23.78,0.11,0.51,4.99,0.0,0.06
Trey Lance,DAL,0.61,10.25,6.49,0.0,0.02,4,2.75,3.73,0.0,0.0,0.0,0.0,0.0,0.0,4,10.34,2.75,0.0,67.76,0.0,0.23,10.19,0.0,0.0,0.0,0.0,0.0,10.34,2.75,0.0,67.76,0.0,0.23,10.19,0.0,0.0,0.0,0.0,0.0
Trey McBride,ARI,0.0,0.0,0.0,0.0,0.0,0,0.06,2.0,1.0,9.19,0.76,7.8,0.01,0.0,16,0.0,0.06,9.29,0.0,0.0,0.0,0.12,0.06,7.09,72.85,0.09,0.0,0.0,0.06,9.29,0.0,0.0,0.0,0.12,0.06,7.09,72.85,0.09,0.0
Trey Palmer,TAM,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.2,0.55,7.82,0.05,0.0,10,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,1.2,17.17,0.11,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,1.2,17.17,0.11,0.0
Treylon Burks,TEN,0.0,0.0,0.0,0.0,0.0,0,0.4,0.5,0.0,1.6,0.5,4.25,0.0,0.0,5,0.0,0.4,1.59,0.0,0.0,0.0,0.2,0.0,0.8,6.72,0.0,0.0,0.0,0.4,1.59,0.0,0.0,0.0,0.2,0.0,0.8,6.72,0.0,0.0
Troy Franklin,DEN,0.0,0.0,0.0,0.0,0.0,0,0.12,4.0,0.0,3.31,0.53,4.96,0.04,0.0,16,0.0,0.12,3.25,0.0,0.0,0.0,0.49,0.0,1.72,16.18,0.13,0.0,0.0,0.12,3.25,0.0,0.0,0.0,0.49,0.0,1.72,16.18,0.13,0.0
Tua Tagovailoa,MIA,0.73,36.27,7.19,0.05,0.02,21,1.55,2.88,0.0,0.0,0.0,0.0,0.0,0.41,11,37.23,1.49,0.0,267.42,1.78,0.79,4.34,0.0,0.0,0.0,0.0,0.59,37.23,1.49,0.0,267.42,1.78,0.79,4.34,0.0,0.0,0.0,0.0,0.59
Tucker Fisk,LAC,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.14,0.88,4.88,0.0,0.0,7,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.98,5.49,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.98,5.49,0.0,0.0
Tucker Kraft,GNB,0.0,0.0,0.0,0.0,0.0,0,0.18,2.0,0.0,4.12,0.71,10.1,0.1,0.01,17,0.0,0.18,4.09,0.0,0.0,0.0,0.36,0.0,2.94,41.16,0.44,0.04,0.0,0.18,4.09,0.0,0.0,0.0,0.36,0.0,2.94,41.16,0.44,0.04
Tutu Atwell,LAR,0.0,0.07,0.0,0.0,0.0,0,0.13,3.5,0.0,4.13,0.68,9.06,0.0,0.0,15,0.07,0.13,4.13,0.0,0.0,0.0,0.46,0.0,2.82,38.1,0.0,0.0,0.07,0.13,4.13,0.0,0.0,0.0,0.46,0.0,2.82,38.1,0.0,0.0
Ty Johnson,BUF,0.0,0.0,0.0,0.0,0.0,0,2.41,5.2,0.02,1.47,0.72,11.36,0.12,0.0,17,0.0,2.39,1.48,0.0,0.0,0.0,12.74,0.05,1.08,17.0,0.18,0.0,0.0,2.39,1.48,0.0,0.0,0.0,12.74,0.05,1.08,17.0,0.18,0.0
Tylan Wallace,BAL,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.92,16.08,0.08,0.08,8,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.39,24.28,0.12,0.11,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.39,24.28,0.12,0.11
Tyler Allgeier,ATL,0.0,0.0,0.0,0.0,0.0,0,8.06,4.7,0.02,0.76,1.0,6.77,0.0,0.0,17,0.0,8.05,0.75,0.0,0.0,0.0,37.12,0.17,0.74,5.05,0.0,0.0,0.0,8.05,0.75,0.0,0.0,0.0,37.12,0.17,0.74,5.05,0.0,0.0
Tyler Badie,DEN,0.0,0.0,0.0,0.0,0.0,0,3.67,7.82,0.0,1.0,1.0,-0.67,0.0,0.07,3,0.0,3.68,0.98,0.0,0.0,0.0,29.11,0.0,0.98,-0.66,0.0,0.35,0.0,3.68,0.98,0.0,0.0,0.0,29.11,0.0,0.98,-0.66,0.0,0.35
Tyler Conklin,NYJ,0.0,0.0,0.0,0.0,0.0,0,0.06,0.0,0.0,4.5,0.71,6.24,0.06,0.0,16,0.0,0.06,4.48,0.0,0.0,0.0,0.0,0.0,3.16,28.19,0.26,0.0,0.0,0.06,4.48,0.0,0.0,0.0,0.0,0.0,3.16,28.19,0.26,0.0
Tyler Goodson,IND,0.0,0.0,0.0,0.0,0.0,0,3.56,4.78,0.03,1.67,0.73,4.07,0.07,0.0,9,0.0,3.57,1.68,0.0,0.0,0.0,17.44,0.11,1.23,6.81,0.12,0.0,0.0,3.57,1.68,0.0,0.0,0.0,17.44,0.11,1.23,6.81,0.12,0.0
Tyler Higbee,LAR,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.67,5.5,0.17,0.0,3,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.69,22.4,0.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.69,22.4,0.75,0.0
Tyler Lockett,SEA,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.35,0.66,8.11,0.03,0.0,17,0.0,0.0,4.38,0.0,0.0,0.0,0.0,0.0,2.86,35.47,0.14,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,0.0,2.86,35.47,0.14,0.0
Tyquan Thornton,NWE,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.5,5.88,0.0,0.0,4,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,1.02,12.04,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,1.02,12.04,0.0,0.0
Tyreek Hill,MIA,0.0,0.0,0.0,0.0,0.0,0,0.47,6.62,0.0,7.24,0.66,7.8,0.05,0.0,17,0.0,0.45,7.43,0.0,0.0,0.0,3.02,0.0,4.89,57.91,0.36,0.0,0.0,0.45,7.43,0.0,0.0,0.0,3.02,0.0,4.89,57.91,0.36,0.0
Tyrell Shavers,BUF,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,69.0,1.0,0.0,1,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.02,70.26,1.03,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.02,70.26,1.03,0.0
Tyrod Taylor,NYJ,0.77,11.0,5.41,0.14,0.0,0,1.5,4.33,0.0,0.0,0.0,0.0,0.0,0.33,2,10.95,1.5,0.0,59.74,1.51,0.0,6.61,0.0,0.0,0.0,0.0,0.49,10.95,1.5,0.0,59.74,1.51,0.0,6.61,0.0,0.0,0.0,0.0,0.49
Tyrone Tracy Jr.,NYG,0.0,0.0,0.0,0.0,0.0,0,11.29,4.37,0.03,3.12,0.72,5.36,0.02,0.02,17,0.0,11.24,3.12,0.0,0.0,0.0,48.77,0.33,2.25,16.71,0.06,0.27,0.0,11.24,3.12,0.0,0.0,0.0,48.77,0.33,2.25,16.71,0.06,0.27
Tyson Bagent,CHI,1.0,0.5,5.5,0.0,0.0,0,1.5,-1.17,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5,1.5,0.0,2.73,0.0,0.0,-1.76,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,2.73,0.0,0.0,-1.76,0.0,0.0,0.0,0.0,0.0
Van Jefferson,PIT,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.67,0.6,6.9,0.05,0.0,15,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,1.62,18.54,0.13,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,1.62,18.54,0.13,0.0
Velus Jones Jr.,CAR,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Velus Jones Jr.,CHI,0.0,0.0,0.0,0.0,0.0,0,2.0,5.5,0.0,1.0,1.0,8.0,0.0,0.33,1,0.0,1.99,1.0,0.0,0.0,0.0,11.01,0.0,1.0,7.93,0.0,1.0,0.0,1.99,1.0,0.0,0.0,0.0,11.01,0.0,1.0,7.93,0.0,1.0
Wan'Dale Robinson,NYG,0.0,0.0,0.0,0.0,0.0,0,0.18,6.0,0.0,8.24,0.66,4.99,0.02,0.0,17,0.0,0.18,8.23,0.0,0.0,0.0,1.07,0.0,5.45,41.08,0.16,0.0,0.0,0.18,8.23,0.0,0.0,0.0,1.07,0.0,5.45,41.08,0.16,0.0
Will Dissly,LAC,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.27,0.78,7.52,0.03,0.0,15,0.0,0.0,4.19,0.0,0.0,0.0,0.0,0.0,3.25,31.68,0.12,0.0,0.0,0.0,4.19,0.0,0.0,0.0,0.0,0.0,3.25,31.68,0.12,0.0
Will Levis,TEN,0.63,25.08,6.95,0.04,0.04,41,3.75,4.07,0.0,0.0,0.0,0.0,0.0,0.22,12,24.95,3.71,0.0,172.13,1.0,0.92,15.27,0.0,0.0,0.0,0.0,0.85,24.95,3.71,0.0,172.13,1.0,0.92,15.27,0.0,0.0,0.0,0.0,0.85
Will Mallory,IND,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.14,0.5,3.62,0.0,0.0,7,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.58,4.14,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.58,4.14,0.0,0.0
Will Shipley,PHI,0.0,0.0,0.0,0.0,0.0,0,6.0,2.73,0.0,0.8,1.0,8.75,0.0,0.0,5,0.0,5.81,0.81,0.0,0.0,0.0,15.58,0.0,0.8,6.86,0.0,0.0,0.0,5.81,0.81,0.0,0.0,0.0,15.58,0.0,0.8,6.86,0.0,0.0
Xavier Gipson,NYJ,0.0,0.0,0.0,0.0,0.0,0,0.14,5.0,0.0,1.43,0.6,3.9,0.1,0.09,7,0.0,0.14,1.42,0.0,0.0,0.0,0.71,0.0,0.85,5.6,0.14,0.14,0.0,0.14,1.42,0.0,0.0,0.0,0.71,0.0,0.85,5.6,0.14,0.14
Xavier Hutchinson,HOU,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.86,0.46,4.5,0.0,0.0,14,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.85,8.25,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.85,8.25,0.0,0.0
Xavier Legette,CAR,0.0,0.0,0.0,0.0,0.0,0,0.4,4.0,0.0,5.6,0.58,5.92,0.05,0.0,15,0.0,0.4,5.54,0.0,0.0,0.0,1.59,0.0,3.19,32.87,0.28,0.0,0.0,0.4,5.54,0.0,0.0,0.0,1.59,0.0,3.19,32.87,0.28,0.0
Xavier Smith,LAR,0.0,0.0,0.0,0.0,0.0,0,1.33,9.0,0.0,0.67,1.0,3.0,0.0,0.0,3,0.0,1.35,0.67,0.0,0.0,0.0,12.18,0.0,0.67,2.05,0.0,0.0,0.0,1.35,0.67,0.0,0.0,0.0,12.18,0.0,0.67,2.05,0.0,0.0
Xavier Weaver,ARI,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Worthy,KAN,0.0,0.0,0.0,0.0,0.0,0,1.25,5.2,0.15,6.12,0.6,6.51,0.06,0.0,16,0.0,1.27,5.95,0.0,0.0,0.0,6.7,0.21,3.58,39.3,0.34,0.0,0.0,1.27,5.95,0.0,0.0,0.0,6.7,0.21,3.58,39.3,0.34,0.0
Zach Charbonnet,SEA,0.0,0.0,0.0,0.0,0.0,0,7.94,4.21,0.06,3.06,0.81,6.54,0.02,0.0,17,0.0,8.0,3.08,0.0,0.0,0.0,33.86,0.47,2.47,20.12,0.06,0.0,0.0,8.0,3.08,0.0,0.0,0.0,33.86,0.47,2.47,20.12,0.06,0.0
Zach Ertz,WAS,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.35,0.73,7.19,0.08,0.01,17,0.0,0.0,5.47,0.0,0.0,0.0,0.0,0.0,3.96,38.79,0.42,0.05,0.0,0.0,5.47,0.0,0.0,0.0,0.0,0.0,3.96,38.79,0.42,0.05
Zamir White,LVR,0.0,0.0,0.0,0.0,0.0,0,8.12,2.82,0.02,1.0,0.75,3.75,0.0,0.03,8,0.0,8.32,0.97,0.0,0.0,0.0,23.84,0.19,0.72,3.64,0.0,0.32,0.0,8.32,0.97,0.0,0.0,0.0,23.84,0.19,0.72,3.64,0.0,0.32
Zay Flowers,BAL,0.0,0.0,0.0,0.0,0.0,0,0.53,6.22,0.0,6.82,0.64,9.13,0.03,0.0,17,0.0,0.54,6.83,0.0,0.0,0.0,3.4,0.0,4.4,62.69,0.2,0.0,0.0,0.54,6.83,0.0,0.0,0.0,3.4,0.0,4.4,62.69,0.2,0.0
Zay Jones,ARI,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.83,0.73,7.64,0.0,0.0,6,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,1.36,14.21,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,1.36,14.21,0.0,0.0
