name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
Jameis Winston,0.61,16.72,7.05,0.04,0.05,8.7,1.22,3.95,0.05,0.0,0.0,0.0,0.0,0.25,6,NYG,15.85,1.12,0.0,113.56,0.62,0.85,4.36,0.05,0.0,0.0,0.0,0.27,19.73,1.11,0.0,139.29,0.6,1.2,4.92,0.04,0.0,0.0,0.0,0.01
James Conner,0.0,0.0,0.0,0.0,0.0,0.0,7.23,4.94,0.04,2.34,0.93,6.0,0.08,0.01,9,ARI,0.0,6.19,2.11,0.0,0.0,0.0,30.4,0.31,1.97,12.77,0.17,0.11,0.0,6.46,1.57,0.0,0.0,0.0,32.85,0.41,1.55,9.39,0.15,0.0
James Cook,0.0,0.0,0.0,0.0,0.0,0.0,7.02,5.33,0.09,1.42,0.94,9.05,0.06,0.01,9,BUF,0.0,6.91,1.34,0.0,0.0,0.0,37.59,0.54,1.24,11.86,0.08,0.1,0.0,6.88,1.67,0.0,0.0,0.0,36.57,0.33,1.52,13.59,0.07,0.0
Jameson Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.59,3.4,0.17,3.91,0.68,10.45,0.08,0.0,9,DET,0.0,0.61,4.21,0.0,0.0,0.0,2.21,0.1,2.77,41.28,0.32,0.0,0.0,0.68,4.9,0.0,0.0,0.0,2.59,0.19,3.18,48.67,0.31,0.0
Jared Goff,0.72,20.94,8.05,0.07,0.01,11.1,1.13,1.4,0.0,0.0,0.0,0.0,0.0,0.1,10,DET,22.52,1.18,0.0,170.3,1.49,0.22,1.74,0.0,0.0,0.0,0.0,0.12,26.24,1.3,0.0,200.77,1.46,0.18,2.05,0.0,0.0,0.0,0.0,0.0
Jason Brownlee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,KAN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jauan Jennings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.61,6.95,0.04,0.02,9,SFO,0.0,0.0,4.34,0.0,0.0,0.0,0.0,0.0,2.62,29.96,0.19,0.08,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,1.97,21.45,0.1,0.0
Javonte Williams,0.0,0.0,0.0,0.0,0.0,0.0,3.52,3.33,0.09,2.28,0.68,2.76,0.0,0.0,9,DAL,0.0,3.48,2.32,0.0,0.0,0.0,11.43,0.35,1.62,6.69,0.0,0.0,0.0,4.31,2.34,0.0,0.0,0.0,14.86,0.5,1.66,7.63,0.0,0.0
Jaxon Smith-Njigba,0.0,0.0,0.0,0.0,0.0,0.0,0.24,5.14,0.0,5.42,0.74,9.32,0.04,0.04,9,SEA,0.0,0.25,5.93,0.0,0.0,0.0,1.3,0.0,4.27,54.91,0.26,0.3,0.0,0.34,7.7,0.0,0.0,0.0,1.88,0.0,5.15,62.57,0.25,0.0
Jayden Daniels,0.68,18.23,6.91,0.07,0.02,18.0,5.68,6.85,0.02,0.0,0.0,0.0,0.0,0.02,9,WAS,17.42,4.95,0.0,125.6,1.16,0.33,33.74,0.11,0.0,0.0,0.0,0.08,15.31,3.58,0.0,108.42,1.02,0.35,24.8,0.04,0.0,0.0,0.0,0.0
Jayden Higgins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.67,10.67,0.0,0.0,1,HOU,0.0,0.0,2.72,0.0,0.0,0.0,0.0,0.0,1.81,28.42,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,1.39,24.21,0.0,0.0
Jayden Reed,0.0,0.0,0.0,0.0,0.0,0.0,0.41,8.89,0.0,2.44,0.62,7.98,0.1,0.03,9,GNB,0.0,0.39,2.24,0.0,0.0,0.0,3.63,0.0,1.38,17.27,0.23,0.1,0.0,0.5,2.66,0.0,0.0,0.0,3.66,0.0,1.67,20.25,0.28,0.0
Jaylen Waddle,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-1.0,0.0,2.69,0.74,9.1,0.02,0.0,8,MIA,0.0,0.02,2.63,0.0,0.0,0.0,-0.02,0.0,1.91,23.83,0.05,0.0,0.0,0.02,2.28,0.0,0.0,0.0,-0.02,0.0,1.73,22.23,0.06,0.0
Jaylen Warren,0.0,0.0,0.0,0.0,0.0,0.0,5.57,4.47,0.01,2.33,0.82,7.63,0.05,0.01,9,PIT,0.0,5.34,2.23,0.0,0.0,0.0,24.24,0.05,1.86,17.31,0.11,0.06,0.0,6.4,2.75,0.0,0.0,0.0,27.17,0.05,2.31,21.99,0.13,0.0
Jaylen Wright,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.71,0.0,0.42,0.6,1.68,0.0,0.04,6,MIA,0.0,1.3,0.41,0.0,0.0,0.0,3.72,0.0,0.24,0.69,0.0,0.07,0.0,1.01,0.36,0.0,0.0,0.0,2.87,0.0,0.22,0.64,0.0,0.0
Jaylin Lane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,5.5,0.0,0.0,1,WAS,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.98,10.97,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.81,9.47,0.0,0.0
Jaylin Noel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,3.5,0.0,0.0,1,HOU,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.9,6.22,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.69,5.29,0.0,0.0
Jeremy McNichols,0.0,0.0,0.0,0.0,0.0,0.0,1.62,4.41,0.01,0.86,0.78,2.18,0.0,0.0,9,WAS,0.0,1.41,0.82,0.0,0.0,0.0,6.2,0.01,0.65,1.87,0.0,0.0,0.0,1.02,0.72,0.0,0.0,0.0,4.55,0.01,0.54,1.61,0.0,0.0
Jeremy Ruckert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.67,4.89,0.0,0.0,8,NYJ,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.72,5.23,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.61,4.43,0.0,0.0
Jermaine Burton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.23,2.09,0.0,0.0,2,CIN,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.25,2.25,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.22,1.98,0.0,0.0
Jerome Ford,0.0,0.0,0.0,0.0,0.0,0.0,4.32,5.36,0.04,1.24,0.93,6.8,0.0,0.0,9,CLE,0.0,4.44,1.2,0.0,0.0,0.0,23.61,0.2,1.11,8.13,0.0,0.0,0.0,3.22,1.12,0.0,0.0,0.0,13.66,0.09,1.1,7.54,0.0,0.0
Jerry Jeudy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,0.7,9.04,0.03,0.0,9,CLE,0.0,0.0,5.71,0.0,0.0,0.0,0.0,0.0,3.98,51.61,0.16,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,0.0,3.95,47.84,0.12,0.0
Joe Burrow,0.71,21.39,7.63,0.07,0.01,18.0,1.19,5.11,0.08,0.0,0.0,0.0,0.0,0.33,9,CIN,21.02,1.14,0.0,160.01,1.43,0.2,5.97,0.08,0.0,0.0,0.0,0.36,18.51,0.83,0.0,140.47,0.92,0.23,4.11,0.06,0.0,0.0,0.0,0.0
Joe Flacco,0.69,22.22,7.42,0.04,0.05,4.9,0.78,2.19,0.0,0.0,0.0,0.0,0.0,0.39,4,CLE,21.44,0.8,0.0,158.99,0.82,1.02,1.74,0.0,0.0,0.0,0.0,0.34,20.01,0.58,0.0,147.38,0.62,1.17,1.01,0.0,0.0,0.0,0.0,0.0
John Bates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.7,7.32,0.0,0.11,5,WAS,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.51,5.4,0.0,0.06,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.42,4.66,0.0,0.0
John FitzPatrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,2.0,0.0,0.0,2,GNB,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.64,1.24,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.77,1.46,0.0,0.0
John Metchie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.63,6.22,0.01,0.06,7,PHI,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,1.37,13.39,0.02,0.12,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,1.21,11.43,0.01,0.0
Johnny Mundt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.59,5.45,0.11,0.0,7,JAX,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.37,3.46,0.06,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.43,3.99,0.06,0.0
Johnny Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.11,0.53,0.11,0.0,4,PHI,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.06,0.26,0.06,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.04,0.0
Jonathan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,12.78,4.69,0.04,1.16,0.67,4.5,0.05,0.01,9,IND,0.0,12.08,1.08,0.0,0.0,0.0,59.54,0.45,0.72,4.72,0.05,0.13,0.0,16.38,1.08,0.0,0.0,0.0,84.21,0.68,0.71,4.3,0.05,0.0
Jonathon Brooks,0.0,0.0,0.0,0.0,0.0,0.0,1.47,2.27,0.0,0.5,1.0,7.67,0.0,0.0,3,CAR,0.0,1.44,0.49,0.0,0.0,0.0,3.24,0.0,0.5,3.9,0.0,0.0,0.0,1.57,0.62,0.0,0.0,0.0,3.34,0.0,0.61,4.72,0.0,0.0
Jonnu Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,3.82,0.84,7.41,0.11,0.01,10,PIT,0.0,0.04,3.65,0.0,0.0,0.0,0.0,0.0,3.12,27.56,0.39,0.03,0.0,0.05,4.51,0.0,0.0,0.0,0.0,0.0,3.87,35.01,0.47,0.0
Jordan Love,0.66,14.94,8.12,0.06,0.0,4.4,1.08,3.48,0.03,0.0,0.0,0.0,0.0,0.03,9,GNB,13.69,1.03,0.0,107.57,0.86,0.0,3.75,0.03,0.0,0.0,0.0,0.04,16.29,1.31,0.0,126.19,1.05,0.0,3.77,0.04,0.0,0.0,0.0,0.0
