odds_name,projection_name,confidence
Rashod Bateman,Rashod Bateman,
Ray Davis,Ray Davis,
Reggie Gilliam,Reggie Gilliam,
Rhamondre Stevenson,Rhamondre Stevenson,
Ricky Pearsall,Ricky Pearsall,
Rico Dowdle,Rico Dowdle,
Rome Odunze,Rome Odunze,
Romeo Doubs,Romeo Doubs,
Roschon Johnson,Roschon Johnson,
Russell Wilson,Russell Wilson,
Ryan Miller,Ryan Miller,
Sam Darnold,Sam Darnold,
Sam LaPorta,Sam LaPorta,
Samaje Perine,Samaje Perine,
Saquon Barkley,Saquon Barkley,
Scott Miller,Scott Miller,
Sean Tucker,Sean Tucker,
Shane Zylstra,Shane Zylstra,
Sione Vaki,Sione Vaki,
Skyy Moore,Skyy Moore,
Spencer Rattler,Spencer Rattler,
Stefon Diggs,Stefon Diggs,
Sterling Shepard,Sterling Shepard,
Stone Smartt,Stone Smartt,
T.J. Hockenson,T.J. Hockenson,
Tank Bigsby,Tank Bigsby,
Tanner Conner,Tanner Conner,
Tanner Hudson,Tanner Hudson,
Teagan Quitoriano,Teagan Quitoriano,
Tee Higgins,Tee Higgins,
Terry McLaurin,Terry McLaurin,
Theo Johnson,Theo Johnson,
Tim Jones,Tim Jones,
Tim Patrick,Tim Patrick,
Tip Reiman,Tip Reiman,
Tommy Tremble,Tommy Tremble,
Tony Pollard,Tony Pollard,
Travis Kelce,Travis Kelce,
Tre Tucker,Tre Tucker,
Trenton Irwin,Trenton Irwin,
Trevor Lawrence,Trevor Lawrence,
Trey Benson,Trey Benson,
Trey McBride,Trey McBride,
Trey Palmer,Trey Palmer,
Troy Franklin,Troy Franklin,
Tua Tagovailoa,Tua Tagovailoa,
Tucker Fisk,Tucker Fisk,
Tucker Kraft,Tucker Kraft,
Tutu Atwell,Tutu Atwell,
Ty Chandler,Ty Chandler,
Ty Johnson,Ty Johnson,
Tylan Wallace,Tylan Wallace,
Tyler Allgeier,Tyler Allgeier,
Tyler Badie,Tyler Badie,
Tyler Conklin,Tyler Conklin,
Tyler Goodson,Tyler Goodson,
Tyler Higbee,Tyler Higbee,
Tyler Johnson,Tyler Johnson,
Tyler Lockett,Tyler Lockett,
Tyquan Thornton,Tyquan Thornton,
Tyreek Hill,Tyreek Hill,
Tyrell Shavers,Tyrell Shavers,
Tyrone Tracy Jr.,Tyrone Tracy Jr.,
Van Jefferson,Van Jefferson,
Velus Jones Jr.,Velus Jones Jr.,
Wan'Dale Robinson,Wan'Dale Robinson,
Will Dissly,Will Dissly,
Will Mallory,Will Mallory,
Will Shipley,Will Shipley,
Xavier Gipson,Xavier Gipson,
Xavier Hutchinson,Xavier Hutchinson,
Xavier Legette,Xavier Legette,
Xavier Smith,Xavier Smith,
Xavier Weaver,Xavier Weaver,
Xavier Worthy,Xavier Worthy,
Zach Charbonnet,Zach Charbonnet,
